,Company,PriceRs.,Day HighRs.
0,"
JIO Financial Serv.
",361.85,374.50
1,"
TCS
",4192.25,4229.95
2,"
Interglobe Aviation
",3242.95,3317.00
3,"
Oracle Finl. Service
",8270.40,8619.20
4,"
Hercules Hoists
",464.65,526.40
5,"
Quick Heal Tech
",579.00,599.70
6,"
eMudhra
",610.45,625.00
7,"
Waaree Renewables
",7426.40,8205.00
8,"
Veritas (India)
",892.35,928.65
9,"
Guj. Themis Biosyn
",379.15,399.00
10,"
GE T&D India
",955.60,1007.00
11,"
RS Software (India)
",188.30,195.00
12,"
Parnax Lab
",113.69,130.00
13,"
Nettlinx
",123.35,127.00
14,"
India Gelatine &Chem
",505.05,513.95
